"Date","Filename","App","Country","Date","Active View-eligible impressions","Measurable impressions","% Measurable impressions (%)","Viewable impressions","% Viewable impressions (%)","AdMob Network request RPM (USD)","AdMob Network requests","Clicks","Estimated earnings (USD)","Impressions CTR (%)","Impression RPM (USD)","Impressions","Match rate (%)","Matched requests","Rewarded completes","Show rate (%)"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Benin","2019-10-04",1,1,"100.00%",1,"100.00%",7.49,1,1,0.01,"100.00%",7.49,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-04",15,15,"100.00%",12,"80.00%",0,85,0,0,"0.00%",0,16,"100.00%",85,0,"18.82%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cambodia","2019-10-04",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Senegal","2019-10-04",2,2,"100.00%",2,"100.00%",0,4,0,0,"0.00%",0,2,"100.00%",4,0,"50.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-04",79,79,"100.00%",50,"63.29%",0,317,0,0,"0.00%",0,80,"100.00%",317,0,"25.24%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Haiti","2019-10-05",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-05",0,0,,0,,0,15,0,0,,,0,"100.00%",15,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Malaysia","2019-10-05",27,27,"100.00%",22,"81.48%",0,128,0,0,"0.00%",0.02,28,"100.00%",128,0,"21.88%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Nepal","2019-10-05",4,4,"100.00%",2,"50.00%",0,6,0,0,"0.00%",0,4,"100.00%",6,0,"66.67%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-05",12,12,"100.00%",7,"58.33%",0,40,0,0,"0.00%",0,12,"100.00%",40,0,"30.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bangladesh","2019-10-06",8,8,"100.00%",5,"62.50%",0,37,0,0,"0.00%",0,8,"100.00%",37,0,"21.62%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-06",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cambodia","2019-10-06",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Senegal","2019-10-06",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Unknown Region","2019-10-06",1,1,"100.00%",0,"0.00%",0,37,0,0,"0.00%",0,1,"100.00%",37,0,"2.70%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cameroon","2019-10-07",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Haiti","2019-10-07",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-07",0,0,,0,,0,19,0,0,,,0,"100.00%",19,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Congo - Brazzaville","2019-10-08",0,0,,0,,0,4,0,0,,,0,"100.00%",4,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cameroon","2019-10-08",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Algeria","2019-10-08",0,0,,0,,0,32,0,0,,,0,"100.00%",32,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Pakistan","2019-10-08",45,45,"100.00%",19,"42.22%",0,251,0,0,"0.00%",0,47,"100.00%",251,0,"18.73%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Senegal","2019-10-08",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Uganda","2019-10-08",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","United States","2019-10-08",6,6,"100.00%",1,"16.67%",0.27,16,0,0,"0.00%",0.71,6,"100.00%",16,0,"37.50%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-08",1,1,"100.00%",1,"100.00%",0,22,0,0,"0.00%",0,1,"100.00%",22,0,"4.55%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Albania","2019-10-09",11,11,"100.00%",5,"45.45%",0,43,0,0,"0.00%",0,11,"100.00%",43,0,"25.58%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bangladesh","2019-10-09",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bolivia","2019-10-09",2,2,"100.00%",1,"50.00%",0,5,0,0,"0.00%",0,2,"100.00%",5,0,"40.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Brazil","2019-10-09",2,2,"100.00%",2,"100.00%",80.24,4,2,0.32,"100.00%",160.49,2,"100.00%",4,0,"50.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Dominican Republic","2019-10-09",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Algeria","2019-10-09",9,9,"100.00%",8,"88.89%",1.64,21,1,0.03,"11.11%",3.84,9,"100.00%",21,0,"42.86%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Ecuador","2019-10-09",4,4,"100.00%",3,"75.00%",0,41,0,0,"0.00%",0,4,"100.00%",41,0,"9.76%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Egypt","2019-10-09",4,4,"100.00%",3,"75.00%",0,26,0,0,"0.00%",0,5,"100.00%",26,0,"19.23%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Fiji","2019-10-09",11,11,"100.00%",10,"90.91%",0.01,40,0,0,"0.00%",0.04,11,"100.00%",40,0,"27.50%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Greece","2019-10-09",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Haiti","2019-10-09",0,0,,0,,0,4,0,0,,,0,"100.00%",4,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-09",24,24,"100.00%",15,"62.50%",1.27,152,5,0.19,"20.83%",8.07,24,"100.00%",152,0,"15.79%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Iraq","2019-10-09",8,8,"100.00%",4,"50.00%",0,20,0,0,"0.00%",0,8,"100.00%",20,0,"40.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Jordan","2019-10-09",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cambodia","2019-10-09",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Morocco","2019-10-09",4,4,"100.00%",2,"50.00%",0,12,0,0,"0.00%",0,4,"100.00%",12,0,"33.33%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Myanmar (Burma)","2019-10-09",0,0,,0,,0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Mexico","2019-10-09",2,2,"100.00%",2,"100.00%",0.03,22,0,0,"0.00%",0.34,2,"100.00%",22,0,"9.09%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Nigeria","2019-10-09",3,3,"100.00%",2,"66.67%",0,22,0,0,"0.00%",0,3,"100.00%",22,0,"13.64%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Peru","2019-10-09",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Philippines","2019-10-09",10,10,"100.00%",6,"60.00%",0,27,0,0,"0.00%",0,10,"100.00%",27,0,"37.04%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Pakistan","2019-10-09",71,71,"100.00%",49,"69.01%",0.16,247,1,0.04,"1.41%",0.54,71,"100.00%",247,0,"28.74%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Puerto Rico","2019-10-09",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Paraguay","2019-10-09",1,1,"100.00%",0,"0.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Saudi Arabia","2019-10-09",3,3,"100.00%",3,"100.00%",0,23,0,0,"0.00%",0,3,"100.00%",23,0,"13.04%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Senegal","2019-10-09",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","El Salvador","2019-10-09",3,3,"100.00%",3,"100.00%",0.04,38,0,0,"0.00%",0.51,3,"100.00%",38,0,"7.89%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Tunisia","2019-10-09",1,1,"100.00%",1,"100.00%",0,18,0,0,"0.00%",0,1,"100.00%",18,0,"5.56%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Turkey","2019-10-09",4,4,"100.00%",4,"100.00%",0,28,0,0,"0.00%",0,4,"100.00%",28,0,"14.29%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Tanzania","2019-10-09",8,8,"100.00%",3,"37.50%",0,21,0,0,"0.00%",0,8,"100.00%",21,0,"38.10%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","United States","2019-10-09",42,42,"100.00%",20,"47.62%",0.08,167,0,0.01,"0.00%",0.33,42,"100.00%",167,0,"25.15%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-09",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Azerbaijan","2019-10-10",6,6,"100.00%",5,"83.33%",7.72,8,1,0.06,"16.67%",10.29,6,"100.00%",8,0,"75.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bangladesh","2019-10-10",20,20,"100.00%",17,"85.00%",0.07,114,1,0.01,"5.00%",0.38,20,"100.00%",114,0,"17.54%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bolivia","2019-10-10",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Brazil","2019-10-10",0,0,,0,,0,4,0,0,,,0,"100.00%",4,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Congo - Kinshasa","2019-10-10",1,1,"100.00%",0,"0.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cuba","2019-10-10",1,1,"100.00%",1,"100.00%",11.29,1,1,0.01,"100.00%",11.29,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Germany","2019-10-10",13,13,"100.00%",6,"46.15%",0,33,0,0,"0.00%",0,13,"100.00%",33,0,"39.39%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Dominican Republic","2019-10-10",2,2,"100.00%",0,"0.00%",0,7,0,0,"0.00%",0,2,"100.00%",7,0,"28.57%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Algeria","2019-10-10",3,3,"100.00%",3,"100.00%",0,5,0,0,"0.00%",0,3,"100.00%",5,0,"60.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Estonia","2019-10-10",1,1,"100.00%",0,"0.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Egypt","2019-10-10",12,12,"100.00%",10,"83.33%",2.54,70,1,0.18,"8.33%",14.81,12,"100.00%",70,0,"17.14%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Gabon","2019-10-10",3,3,"100.00%",3,"100.00%",0,3,0,0,"0.00%",0,3,"100.00%",3,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Ireland","2019-10-10",19,19,"100.00%",12,"63.16%",0.22,64,0,0.01,"0.00%",0.74,19,"100.00%",64,0,"29.69%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-10",117,117,"100.00%",102,"87.18%",0.49,702,11,0.35,"9.24%",2.91,119,"100.00%",702,0,"16.95%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Iraq","2019-10-10",3,3,"100.00%",3,"100.00%",0,8,0,0,"0.00%",0,3,"100.00%",8,0,"37.50%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Jamaica","2019-10-10",4,4,"100.00%",2,"50.00%",1.63,4,0,0.01,"0.00%",1.63,4,"100.00%",4,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Kyrgyzstan","2019-10-10",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cambodia","2019-10-10",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Kazakhstan","2019-10-10",1,1,"100.00%",0,"0.00%",0,4,0,0,"0.00%",0,1,"100.00%",4,0,"25.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Morocco","2019-10-10",8,8,"100.00%",2,"25.00%",3.54,16,2,0.06,"25.00%",7.09,8,"100.00%",16,0,"50.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Myanmar (Burma)","2019-10-10",7,7,"100.00%",5,"71.43%",0.6,79,1,0.05,"14.29%",6.74,7,"100.00%",79,0,"8.86%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Mexico","2019-10-10",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Malaysia","2019-10-10",0,0,,0,,0,41,0,0,,,0,"100.00%",41,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Mozambique","2019-10-10",36,36,"100.00%",23,"63.89%",0.01,139,0,0,"0.00%",0.02,37,"100.00%",139,0,"26.62%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Nepal","2019-10-10",3,3,"100.00%",3,"100.00%",0,25,0,0,"0.00%",0,3,"100.00%",25,0,"12.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Philippines","2019-10-10",7,7,"100.00%",5,"71.43%",0,27,0,0,"0.00%",0,7,"100.00%",27,0,"25.93%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Pakistan","2019-10-10",118,118,"100.00%",80,"67.80%",0.11,559,2,0.06,"1.65%",0.49,121,"77.28%",432,0,"28.01%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Russia","2019-10-10",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Sudan","2019-10-10",2,2,"100.00%",2,"100.00%",0,5,0,0,"0.00%",0,2,"100.00%",5,0,"40.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Senegal","2019-10-10",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Thailand","2019-10-10",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Tunisia","2019-10-10",4,4,"100.00%",3,"75.00%",41.88,7,5,0.29,"125.00%",73.28,4,"100.00%",7,0,"57.14%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","United States","2019-10-10",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Uzbekistan","2019-10-10",3,3,"100.00%",2,"66.67%",0,19,0,0,"0.00%",0,3,"100.00%",19,0,"15.79%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-10",5,5,"100.00%",3,"60.00%",0,29,0,0,"0.00%",0,5,"100.00%",29,0,"17.24%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Armenia","2019-10-11",8,8,"100.00%",4,"50.00%",0,60,0,0,"0.00%",0,8,"100.00%",60,0,"13.33%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Angola","2019-10-11",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Azerbaijan","2019-10-11",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bangladesh","2019-10-11",35,35,"100.00%",29,"82.86%",0.04,188,1,0.01,"2.78%",0.19,36,"96.28%",181,0,"19.89%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Burkina Faso","2019-10-11",7,7,"100.00%",2,"28.57%",0,70,0,0,"0.00%",0,7,"100.00%",70,0,"10.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Brazil","2019-10-11",18,18,"100.00%",14,"77.78%",0.01,66,0,0,"0.00%",0.03,18,"100.00%",66,0,"27.27%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Belarus","2019-10-11",83,83,"100.00%",60,"72.29%",0.01,327,0,0,"0.00%",0.04,83,"100.00%",327,0,"25.38%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Dominican Republic","2019-10-11",2,2,"100.00%",1,"50.00%",0,2,0,0,"0.00%",0,2,"100.00%",2,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Algeria","2019-10-11",11,11,"100.00%",8,"72.73%",0.01,41,0,0,"0.00%",0.03,11,"100.00%",41,0,"26.83%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Ecuador","2019-10-11",3,3,"100.00%",3,"100.00%",0.36,7,0,0,"0.00%",0.85,3,"100.00%",7,0,"42.86%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Egypt","2019-10-11",1,1,"100.00%",1,"100.00%",0,1,0,0,"0.00%",0,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Ghana","2019-10-11",8,8,"100.00%",3,"37.50%",0.06,24,0,0,"0.00%",0.17,8,"100.00%",24,0,"33.33%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Hong Kong","2019-10-11",3,3,"100.00%",3,"100.00%",0,4,0,0,"0.00%",0,3,"100.00%",4,0,"75.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Honduras","2019-10-11",1,1,"100.00%",1,"100.00%",0,4,0,0,"0.00%",0,1,"100.00%",4,0,"25.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Indonesia","2019-10-11",11,11,"100.00%",9,"81.82%",0.06,63,0,0,"0.00%",0.33,11,"100.00%",63,0,"17.46%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","India","2019-10-11",440,440,"100.00%",346,"78.64%",0.06,2268,7,0.15,"1.59%",0.33,441,"100.00%",2268,0,"19.44%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Iraq","2019-10-11",6,6,"100.00%",5,"83.33%",0.02,34,0,0,"0.00%",0.1,6,"100.00%",34,0,"17.65%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Jordan","2019-10-11",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Kenya","2019-10-11",21,21,"100.00%",14,"66.67%",0.01,49,0,0,"0.00%",0.01,21,"100.00%",49,0,"42.86%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Kyrgyzstan","2019-10-11",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Cambodia","2019-10-11",16,16,"100.00%",10,"62.50%",1.32,50,2,0.07,"12.50%",4.13,16,"100.00%",50,0,"32.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Kazakhstan","2019-10-11",6,6,"100.00%",4,"66.67%",0,31,0,0,"0.00%",0,6,"100.00%",31,0,"19.35%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Lebanon","2019-10-11",19,19,"100.00%",14,"73.68%",0,55,0,0,"0.00%",0,19,"100.00%",55,0,"34.55%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Sri Lanka","2019-10-11",1,1,"100.00%",1,"100.00%",0,7,0,0,"0.00%",0,1,"100.00%",7,0,"14.29%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Morocco","2019-10-11",2,2,"100.00%",2,"100.00%",0,2,0,0,"0.00%",0,2,"100.00%",2,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","North Macedonia","2019-10-11",63,63,"100.00%",39,"61.90%",0,272,0,0,"0.00%",0,65,"100.00%",272,0,"23.90%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Myanmar (Burma)","2019-10-11",1,1,"100.00%",1,"100.00%",1.8,1,0,0,"0.00%",1.8,1,"100.00%",1,0,"100.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Malaysia","2019-10-11",21,21,"100.00%",12,"57.14%",0.02,86,0,0,"0.00%",0.08,22,"100.00%",86,0,"25.58%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Nigeria","2019-10-11",27,27,"100.00%",18,"66.67%",0,67,0,0,"0.00%",0,27,"100.00%",67,0,"40.30%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Philippines","2019-10-11",9,9,"100.00%",8,"88.89%",0,47,0,0,"0.00%",0,9,"100.00%",47,0,"19.15%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Pakistan","2019-10-11",258,258,"100.00%",140,"54.26%",0,2792,0,0,"0.00%",0.01,259,"60.78%",1697,0,"15.26%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Qatar","2019-10-11",14,14,"100.00%",9,"64.29%",0.03,30,0,0,"0.00%",0.07,14,"100.00%",30,0,"46.67%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Russia","2019-10-11",33,33,"100.00%",24,"72.73%",0,122,0,0,"0.00%",0,33,"100.00%",122,0,"27.05%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Singapore","2019-10-11",4,4,"100.00%",3,"75.00%",0.02,23,0,0,"0.00%",0.12,4,"100.00%",23,0,"17.39%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","El Salvador","2019-10-11",1,1,"100.00%",0,"0.00%",0,16,0,0,"0.00%",0.01,1,"100.00%",16,0,"6.25%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Thailand","2019-10-11",40,40,"100.00%",28,"70.00%",0,118,0,0,"0.00%",0,40,"100.00%",118,0,"33.90%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Tunisia","2019-10-11",7,7,"100.00%",6,"85.71%",0.01,37,0,0,"0.00%",0.08,7,"100.00%",37,0,"18.92%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Turkey","2019-10-11",3,3,"100.00%",3,"100.00%",0,31,0,0,"0.00%",0,3,"100.00%",31,0,"9.68%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Ukraine","2019-10-11",2,2,"100.00%",1,"50.00%",0,4,0,0,"0.00%",0,2,"100.00%",4,0,"50.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Venezuela","2019-10-11",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Vietnam","2019-10-11",1,1,"100.00%",1,"100.00%",0,17,0,0,"0.00%",0,1,"100.00%",17,0,"5.88%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Zimbabwe","2019-10-11",10,10,"100.00%",6,"60.00%",0,140,0,0,"0.00%",0,10,"100.00%",140,0,"7.14%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Afghanistan","2019-10-12",0,0,,0,,0,1,0,0,,,0,"100.00%",1,0,"0.00%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Bangladesh","2019-10-12",124,124,"100.00%",83,"66.94%",0.03,593,2,0.02,"1.59%",0.13,126,"100.00%",593,0,"21.25%"
2019-10-19,"admob-report.csv","Old School Automatic Savings","Burkina Faso","2019-10-12",0,0,,0,,0,16,0,0,,,0,"100.00%",16,0,"0.00%"
